ROCO_81826	 Model bone showing the extent of graft insertion
ROCO_87869	 Anterior segment photograph taken 7 days after surgery. The thin plaque-like material (white arrow) gradually decreased over time.
ROCO_87871	 Upper Extremity Computed Tomography Angiography (CTA). The collateral blood flow between radial and ulnar artery in both hands was not clearly visible (A). View of vocal cord by the Bullard laryngoscope showing a narrowed glottis due to hypertrophy in the patient with height of 200 cm and weight of 94 kg (B).
ROCO_87872	 Operative wound bleeding. Two hours after the Cesarean section, our patient developed the following hemorrhagic manifestations: gingival bleeding, generalized purpura and petechiae, and operative wound bleeding. Laboratory test results showed a platelet count of 8×109plt/L.
ROCO_87873	 Selection of spontaneous flagellar phase variants from H2002 and H2004 on motility agar containing antiserum against H17 antigen. Arrow A indicates spreading growth produced by the phase variants from H2004. Arrow B indicates immobilized growth of the H2002 in the presence of H17 antiserum.
ROCO_87874	 Whistle of a toy at the right main bronchus
ROCO_87877	 Multiplanar reconstruction of the left anterior descending artery (LAD) demonstrating a severe non-calcified lesion in the mid-LAD
ROCO_87878	 Slit lamp biomicroscopy of the left eye showing an intracorneal elongated foreign body consistent with human hair. A faint stromal scar is seen along the shaft of the hair at the level of the descemet's membrane
ROCO_87879	 Endoscopic procedure for the treatment of frontal migraine.
ROCO_87880	 Prostaglandin E1 with lignocaine as vehicle and injection method of administration of prostaglandin E1
ROCO_87881	 Phineas Gage with his tamping iron (c. 1860)
ROCO_87883	 Portrait of Edwin Ellen Goldmann. Born in 1862 in Burgherdorp, South Africa, Goldmann died of cancer in 1913 in Freiburg im Bresgau, Germany, 2 months after his contribution to the discovery of the blood–brain barrier (BBB) [7]. Goldmann is not described as a student or associate of Ehrlich, but they should have been in contact. Goldmann's experiments that led to the detection of the BBB were done with the financial support of the late Sir Julius Wernher and others, and with the technical and intellectual assistance of Marie Schmelzer, a lay worker. (Image in the public domain: http://de.wikipedia.org/wiki/Edwin_Goldmann).
ROCO_87884	 IPC palatal expander
ROCO_87887	 Connecting rod of suitable length was arranged in the “U”-shaped groove of the screw. The connecting rod was inserted through the subcutaneous tunnel.
ROCO_87888	 Addition of a new pontic to the Turkom-Cera cores
ROCO_87889	 The spreader device with a torque meter provides a stepwise spreading by detents, and the step size is 1 mm
ROCO_87890	 Current density distribution. Results of a finite-element model simulation of tACS (Neuling et al., 2012a). Simulation electrodes are centered at electrode positions Cz and Oz of the 10/20 system. Current densities are highest in the posterior cortex.
ROCO_87891	 Measure Project Analysis for P300. Measure Projection for localizing component dipoles into four significant domains for the P300 ERP measure [p < 0.01 Paired t-test (right-tailed) with 2000 permutations—default settings]. The prominent anatomical regions include the Right Hippocampus, Right Precentral Gyrus, Right Angular Gyrus, and the Cerebellum.
ROCO_87892	 Simple infiltration (material: Gutta-percha points + AH26)
ROCO_87893	 CT angiography examination of the patient. Contrast passage between the femoral artery and vein (arrow heads) is demonstrated. (Black arrow: common femoral artery, white arrow: common femoral vein).
ROCO_87895	 Facial EMG recording of a subject
ROCO_87896	 Accumulation of fluorocoxibs in the inflamed paw. Carageenan was injected into the paw at time zero. After 24 h, the fluorocoxib was administered by intraperitoneal injection.
ROCO_87897	 Endoscopic transoral approach of the larynx. Section of the mucosa of the valleculae (1) is done with the ultrasonic scalpel. If mucosa of the lingual aspect of the epiglottis can be preserved, the section (2) should be incised with the monopolar electrode, as well as the posterior section of the mucosa (3)
ROCO_87898	 Fat-suppressed T1-weighted axial view demonstrates an irregular posterosuperior glenoid labrum (arrow).
ROCO_87899	 Fedor Machnow (1880, Kustiaki/Witebsk (Russia)—1920, (USA)) photographed at the “London Hippodrome, London (UK) in 1905. Collection W.W. de Herder
ROCO_87901	 Material deposited in the extracardiac conduit - Chest angiotomography image (short axis) performed 6 months after total cavopulmonary connection with extracardiac conduit. Short axis cuts (arrow)
ROCO_87902	 Fistula division
ROCO_87905	 Intraoperative still surgical video clip showing irrigation and aspiration of the soft lens matter.
ROCO_87906	  Retrosigmoid approach.
ROCO_87907	 Establishment of contaminated vascular graft models
ROCO_87908	 FISH result shows a break-apart red and green signal per nucleus in SS tumor cells (arrows), indicating the presence of a t(X;18) translocation.
ROCO_87909	 Wastage of injectable material from mesogun
ROCO_87911	 Completion of the peritoneal flap closure with absorbable suture.
ROCO_87913	 Case 2 showing erythematous papulonodular itchy skin lesions on the abdomen and lower trunk
ROCO_87914	 Area 3 of Figure 2.
ROCO_87915	 Intra-operative photograph showing complete removal of the vitreous from the sclerotomy site.
ROCO_87916	 Changes after implantable cardioverter-defibrillator (ICD) insertion. A: after rewarming, the Osborn wave gradually disappears. B: an ICD is inserted.
ROCO_87917	 GAD patients (N = 26) show greater activation in a cluster in the right amygdala when viewing neutral facial expressions when compared to healthy participants (N = 26; p = 0.0001; size = 440 mm3; multiple comparison corrections within area of bilateral amygdalae; cluster overlaid over a FreeSurfer subcortical parcellation image).
ROCO_87920	 Sample detection of the corneal SR and approximate pupil regions.
ROCO_87921	 Rng3p is required the function of non-essential myosin-II Myp2p.A Myp2p-head/Myo2p-tail chimera construct was tested for its ability to rescue the growth of temperature-sensitive rng3-65 mutant cells under restrictive growth conditions (36°C). Plasmid transformants were grown under permissive conditions (25°C) on EMM-Leu− Ura− minimal media plates before re-streaking and subsequent incubation on plates at 36°C. Double drop-out plates were employed to accommodate the differing markers of the pGFP-myp2-head/myo2-tail (LEU2) and pGFP-rng3 (ura4+) plasmids. The vector alone transformant (left, negative control) carried empty LEU2 and ura4+ plasmids; the Rng3p transformant (center, positive control) carried an empty LEU2 vector and pGFP-rng3; and the Myp2p-head/Myo2p-tail transformant (right) carried pGFP-myp2-head/myo2-tail and an empty ura4+ vector.
ROCO_87922	 Postlaparoscopic vulvar hematoma.
ROCO_87923	 Entering the actual length of file
ROCO_87924	 With a flexed knee, the player lifts the knee 10cm off the floor (maintaining trunk alignment), lowers the knee to the floor and then relaxes each time.
ROCO_87925	 Example of the measurement region for variation of FT.
ROCO_87926	 Gel Electrophoresis of Genus-Specific aac(6)-le-aph(2)la PCR Products From Enterococcal SpeciesM, 100 bp marker; 1, negative control; 2, positive control; 3 and 4, positive samples for aac(6)-le-aph(2)la PCR.
ROCO_87927	 Dried mucous secretion on the eye lids, hyperaemia, oedema of the conjunctiva with protrusion of the third eye lid and keratitis (one month after the first examination).
ROCO_87928	 A GUI was designed for manual identification of MCs and MCCs.
ROCO_87929	 See video, Supplemental Digital Content 1, which displays a surgical technique for vaginoplasty (introitus and vaginal canal tightening with perineal gap closure) and perineoplasty (introitus tightening and perineal gap closure) are demonstrated in this step-by-step narrated video. This video is available in the “Related Video” section of PRSGlobalOpen.com or at http://links.lww.com/PRSGO/A599. Permission for Use of Image: The authors purchased a license from the Netter company to use the Frank Netter image in the video.
ROCO_87930	 Recortication and filling in at a right fourth PIP joint. Images of the same hand are shown from (a) October 2002 and (b) November 2003. PIP, proximal interphalangeal.
ROCO_87931	 Cross-sectional scanning electron microscopy (SEM) micrograph of a conditioner-coated specimen (5000× magnification).
ROCO_87933	 Trocar placement in the left jackknife position. L1 posterior axillary line, L2 midaxillary line, L3 anterior axillary line, T1 main operating hole 1, T2 main operating hole 2, T3 observation hole, T4 auxiliary operation hole 1, T5 auxilliary operation hole 2
ROCO_87934	 The fused image formed from T1-weighted and SW images.The positional relationships between the anterior septal vein and the surrounding brain structures are clearly observed. (1, anterior septal vein; 2, anterior horn of lateral ventricle; 3, deep medullary veins; 4, superior frontal gyrus; 5, middle frontal gyrus).
ROCO_87935	 The distance from the superior border of mental foramen to the inferior border of mandible.
ROCO_87937	 Illustrated London News, 16 October 1915, p. 498: ‘Artificial limbs for wounded British soldiers: adjusting a new leg at Roehampton House after a first trial-walk with it’. Source: © Illustrated London News Ltd / Mary Evans.
